campaign_type,Platform,content_type,total_spend,Impressions,Engagement
MM,TIKTOK,OWNED - BOOSTED ONLY,10227.69,469799,28346
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,3420.84,122216,8787
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,5093.24,1744559,143361
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,886.48,222465,21079
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,4881.1,335545,15029
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,3448.23,1080722,67236
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1823.49,462576,22901
MM,META,OWNED - BOOSTED ONLY,4647.94,358666,14224
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,2096.7,352994,28003
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1782.78,160552,11013
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,5464.76,1863725,188537
MM,META,OWNED - BOOSTED ONLY,4386.67,292439,6512
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2864.73,603607,90541
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,2233.8,496048,23563
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,516.45,815103,40446
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,9764.88,386729,38879
MM,META,INFLUENCER - CFG - BOOSTED ONLY,364.03,636375,70717
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,55.12,171155,8887
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1400.78,121445,8925
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,51.3,169608,8650
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,30482.3,488383,42566
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,10099.85,228139,9672
BAU,META,PAID - BRAND,21177.91,130796,3981
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,4402.04,1222290,48577
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,39.63,171837,12623
MM,META,OWNED - BOOSTED ONLY,4340.48,376258,12150
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,187.21,164412,8917
FLOOD THE FEED,TIKTOK,PAID - BRAND,48955.24,1192889,40052
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,7981.09,263094,12793
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,16947.8,278989,17879
MM,INSTAGRAM,PAID - BRAND,5536.8,506495,34358
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2063.0,437154,32137
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,876.8,418332,41707
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,195.72,227103,15320
FLOOD THE FEED,META,PAID - BRAND,26378.41,532227,34665
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,7619.77,200314,10459
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,6146.93,543704,51730
MM,META,INFLUENCER - CFG - BOOSTED ONLY,6062.37,495613,22143
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,307.27,305185,15152
MM,INSTAGRAM,OWNED - BOOSTED ONLY,4109.85,115484,6422
BAU,META,PAID - PARTNERSHIP,5313.34,176583,6657
BAU,TIKTOK,PAID - BRAND,3252.94,221332,11827
FLOOD THE FEED,META,PAID - BRAND,6913.12,1122627,44353
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,377.47,229898,10625
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,6442.54,1060949,159142
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,7018.72,927524,48900
BAU,INSTAGRAM,PAID - PARTNERSHIP,7919.53,202554,12208
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,935.2,294229,13430
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,3370.48,2420819,74657
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,8344.77,106544,6658
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,15266.65,629556,41007
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1019.48,341486,14482
MM,INSTAGRAM,PAID - BRAND,4124.45,313325,9895
BAU,META,PAID - BRAND,74303.71,530628,8323
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,178.83,134842,14627
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,67.19,100953,7893
BAU,META,PAID - BRAND,10923.07,161958,4219
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,1462.03,293246,19124
BAU,META,PAID - BRAND,5472.4,151109,5731
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,1239.12,414513,22072
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,1441.8,824398,36002
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,231.32,324001,20609
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,139.84,36358,1347
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,2040.9,185618,23262
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,348.9,479984,47921
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,25897.71,156064,11946
MM,TIKTOK,OWNED - BOOSTED ONLY,3027.07,233255,17684
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,4018.2,396484,36438
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,1672.42,623748,41083
BAU,INSTAGRAM,PAID - BRAND,32177.58,133108,9692
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,159.47,572988,41015
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,4543.66,292812,15845
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,1422.97,304292,15548
MM,META,INFLUENCER - CFG - BOOSTED ONLY,5092.5,338761,25557
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,4726.54,1166302,135243
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,64.78,115658,7294
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,7446.92,344250,19255
BAU,INSTAGRAM,PAID - BRAND,20261.9,192102,8692
BAU,META,OWNED - BOOSTED ONLY,2201.1,216068,11897
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,10281.74,1211066,171999
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,3076.37,879647,76940
BAU,TIKTOK,OWNED - BOOSTED ONLY,4847.65,331583,22530
MM,TIKTOK,PAID - PARTNERSHIP,7278.9,313296,35214
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,659.17,374848,47751
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,9774.13,739475,64286
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,2926.7,340190,33409
BAU,TIKTOK,PAID - BRAND,1079.5,745514,34240
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,65.01,160205,12185
FLOOD THE FEED,META,PAID - PARTNERSHIP,1279.74,307018,11890
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,189.61,106051,4640
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,187.18,151828,8360
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,72.35,119470,6609
BAU,META,PAID - BRAND,27256.15,580650,15939
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,2897.13,145921,10448
MM,META,PAID - BRAND,1933.35,445276,10005
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,249.47,293036,19059
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,221.79,175569,10460
MM,META,INFLUENCER - OGILVY - BOOSTED ONLY,4171.95,409812,22787
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,68.51,197785,15432
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,26283.99,1380160,207024
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,942.92,668094,33881
MM,META,OWNED - BOOSTED ONLY,79594.83,215049,6619
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,1213.07,160234,7390
MM,TIKTOK,PAID - PARTNERSHIP,954.61,505767,33622
BAU,META,OWNED - BOOSTED ONLY,49724.66,504399,16799
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,774.62,563805,14569
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,46499.1,1730987,86614
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,228.22,785653,58300
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,19086.27,244907,19641
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,3004.5,720307,60415
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,7587.63,463354,39958
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3570.44,1154082,128586
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,551.72,97271,10275
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,4907.26,209318,24001
BAU,META,PAID - PARTNERSHIP,3545.77,596955,21930
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,65586.29,1103303,55290
BAU,INSTAGRAM,PAID - PARTNERSHIP,12802.0,368718,26684
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,701.07,1470167,193882
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,213.13,170771,7113
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,1990.0,632951,47681
MM,INSTAGRAM,PAID - PARTNERSHIP,3331.38,748084,23734
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,231.58,281287,17044
MM,TIKTOK,PAID - BRAND,2838.29,151486,7079
MM,META,INFLUENCER - CFG - BOOSTED ONLY,421.28,674239,43351
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,727.91,273176,15268
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,139.4,240439,12021
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,245.68,101895,5397
BAU,META,PAID - BRAND,2538.82,166570,4063
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,44.8,342919,23289
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,73.72,185486,9038
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,2139.97,284328,18842
BAU,META,PAID - PARTNERSHIP,1345.13,198255,6571
BAU,TIKTOK,PAID - PARTNERSHIP,94.36,136194,12313
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,35152.52,725592,49685
BAU,INSTAGRAM,PAID - PARTNERSHIP,4754.64,1514563,101717
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,130.59,76113,3158
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,4044.83,214968,10775
BAU,META,OWNED - BOOSTED ONLY,1130.19,124321,8166
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,11186.46,353679,29772
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,3347.78,335951,47748
BAU,INSTAGRAM,PAID - PARTNERSHIP,6689.97,130288,5906
FLOOD THE FEED,META,PAID - BRAND,801.57,229258,8717
BAU,TIKTOK,OWNED - BOOSTED ONLY,52267.23,172885,13509
BAU,META,OWNED - BOOSTED ONLY,1123.31,177541,5885
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,815.67,674023,50429
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,4472.42,329999,16587
MM,META,PAID - PARTNERSHIP,764.07,230775,10421
BAU,TIKTOK,PAID - PARTNERSHIP,6319.38,235671,14567
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,314.63,136937,13539
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,76.51,483538,32304
BAU,TIKTOK,PAID - BRAND,198.88,142507,6939
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,192.43,117075,11910
BAU,TIKTOK,PAID - BRAND,246.59,368179,12289
MM,INSTAGRAM,PAID - PARTNERSHIP,1121.3,274006,10160
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1674.33,426315,18932
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,10441.44,242795,10929
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,25909.19,264072,19960
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,7084.1,431024,43361
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,81.13,201638,16164
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,17182.95,608136,48452
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1607.1,347191,21955
MM,META,OWNED - BOOSTED ONLY,5386.65,239932,10364
FLOOD THE FEED,META,PAID - PARTNERSHIP,67043.79,1023251,33404
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,18066.61,273073,10667
FLOOD THE FEED,META,PAID - PARTNERSHIP,657.12,157967,5117
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,3064.46,876187,69586
MM,TIKTOK,OWNED - BOOSTED ONLY,2145.97,679496,23101
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,187.84,219038,9445
BAU,META,OWNED - BOOSTED ONLY,16574.67,332573,11627
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,7701.52,1309119,99542
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,190.23,87314,4547
MM,INSTAGRAM,OWNED - BOOSTED ONLY,10357.89,152536,8228
BAU,INSTAGRAM,PAID - PARTNERSHIP,1456.1,299888,15910
BAU,TIKTOK,OWNED - BOOSTED ONLY,14133.6,277789,16908
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,686.67,340715,27471
MM,TIKTOK,OWNED - BOOSTED ONLY,9278.76,255234,21866
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,22775.87,1482430,222364
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,933.85,142850,6032
FLOOD THE FEED,META,PAID - BRAND,28115.22,926445,26240
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,4536.69,436548,65482
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,3618.56,452845,27024
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,6133.46,395014,16827
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,6046.3,1868200,268526
BAU,META,PAID - BRAND,32525.51,257430,5509
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,130.87,174558,12216
MM,META,OWNED - BOOSTED ONLY,235.4,655901,24771
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1571.33,316448,14792
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,10247.16,399417,14321
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,427.26,516751,77512
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,2019.52,238747,11976
BAU,META,OWNED - BOOSTED ONLY,1980.12,48554,1891
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,2108.22,497412,46774
MM,INSTAGRAM,PAID - BRAND,16152.78,276874,7628
BAU,INSTAGRAM,PAID - BRAND,141497.84,309038,11916
BAU,TIKTOK,OWNED - BOOSTED ONLY,2875.01,393464,24867
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,83.62,142081,9454
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1319.31,150108,8182
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,115.01,495674,15037
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,15325.3,1439510,51005
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,1782.85,350855,9108
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,928.23,338554,50783
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,378.3,307757,25680
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,548.08,701662,78011
MM,TIKTOK,PAID - BRAND,476.66,731558,32672
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1698.96,595592,52262
MM,TIKTOK,PAID - PARTNERSHIP,1734.63,955836,41465
BAU,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,7509.34,497785,34839
BAU,META,OWNED - BOOSTED ONLY,4861.97,120900,6317
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,2258.93,192178,18954
BAU,META,OWNED - BOOSTED ONLY,1036.38,101713,2524
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,272.06,114348,16260
MM,TIKTOK,PAID - BRAND,131.25,1226533,62721
MM,META,OWNED - BOOSTED ONLY,2578.42,214770,9586
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,2817.34,869936,34570
MM,INSTAGRAM,OWNED - BOOSTED ONLY,3734.81,195135,10128
MM,META,PAID - PARTNERSHIP,4730.1,128337,3083
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,312.08,275272,21881
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,151.17,251675,14384
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,927.55,211819,8339
MM,META,OWNED - BOOSTED ONLY,5499.32,111319,6002
BAU,TIKTOK,OWNED - BOOSTED ONLY,6056.55,422584,37453
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,36250.62,1736676,89973
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,437.31,652551,63137
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,249.05,132254,11749
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,959.99,130730,4526
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,746.32,198559,10667
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,14479.12,203479,24203
BAU,TIKTOK,OWNED - BOOSTED ONLY,6247.75,405521,20688
BAU,META,PAID - PARTNERSHIP,8522.5,217331,8115
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,138708.07,787672,106746
MM,TIKTOK,PAID - PARTNERSHIP,1038.19,454538,46391
MM,TIKTOK,OWNED - BOOSTED ONLY,1163.92,1187499,96914
BAU,TIKTOK,OWNED - BOOSTED ONLY,1282.16,489957,43292
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,276.39,103054,4175
MM,META,INFLUENCER - CFG - BOOSTED ONLY,2056.42,469296,32563
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,3891.51,121273,9786
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,7449.32,609685,48566
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,341.7,195789,9662
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,246.8,472126,28942
FLOOD THE FEED,TIKTOK,PAID - BRAND,4479.95,373526,12963
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,14468.5,210736,13650
MM,INSTAGRAM,PAID - PARTNERSHIP,3110.31,285653,18168
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,88.58,262116,11499
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,1553.48,361639,14843
MM,META,PAID - BRAND,1453.71,768045,16913
BAU,INSTAGRAM,PAID - PARTNERSHIP,2252.27,176714,13092
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,4003.13,678481,22941
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,4449.63,1826516,179727
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,14738.53,475058,39152
BAU,INSTAGRAM,PAID - BRAND,93746.27,235762,7920
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,26372.49,915552,56349
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,97.5,93396,4193
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,59.23,88128,3527
FLOOD THE FEED,TIKTOK,PAID - PARTNERSHIP,2829.83,843712,80604
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,666.79,1002022,50744
BAU,TIKTOK,OWNED - BOOSTED ONLY,2767.79,522762,24636
BAU,TIKTOK,OWNED - BOOSTED ONLY,5290.22,397856,30439
FLOOD THE FEED,TIKTOK,OWNED - BOOSTED ONLY,4599.73,2808389,153077
BAU,INSTAGRAM,OWNED - BOOSTED ONLY,1344.13,132136,5905
FLOOD THE FEED,META,INFLUENCER - OGILVY - ORGANIC ONLY,78.46,501314,38691
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,83.87,79823,6178
MM,INSTAGRAM,OWNED - BOOSTED ONLY,1302.01,336345,18873
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,32.6,824517,118702
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,1188.94,529246,55357
MM,META,OWNED - BOOSTED ONLY,4923.06,456547,33043
MM,META,INFLUENCER - OGILVY - ORGANIC ONLY,124.34,104254,3473
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,995.86,333586,30175
BAU,TIKTOK,OWNED - BOOSTED ONLY,1371.39,384771,25270
BAU,TIKTOK,OWNED - BOOSTED ONLY,17722.49,1736234,97720
MM,META,PAID - PARTNERSHIP,1430.59,630849,27865
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,940.78,374581,28249
MM,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,267.91,273757,23530
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,6379.92,1476493,120781
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,23700.19,542943,27885
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,171.87,495272,32560
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,5182.33,365230,14588
FLOOD THE FEED,INSTAGRAM,OWNED - BOOSTED ONLY,20285.83,442449,23689
BAU,TIKTOK,PAID - BRAND,387.69,614862,35819
BAU,TIKTOK,OWNED - BOOSTED ONLY,76487.46,338193,23837
BAU,INSTAGRAM,PAID - PARTNERSHIP,4333.26,612459,28569
FLOOD THE FEED,INSTAGRAM,PAID - PARTNERSHIP,4530.25,617521,31347
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,94.97,390805,45302
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,639.21,559861,40841
MM,INSTAGRAM,PAID - PARTNERSHIP,17900.25,122329,4965
MM,INSTAGRAM,PAID - PARTNERSHIP,5249.13,736575,34665
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,1296.21,2074100,128956
FLOOD THE FEED,META,INFLUENCER - CFG - BOOSTED ONLY,110.14,815993,40429
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,644.29,659200,63829
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,1279.06,266549,26595
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,7905.4,329394,30953
MM,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,598.77,206242,15082
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,141.8,235533,14722
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,5054.75,282564,41830
BAU,TIKTOK,PAID - PARTNERSHIP,2635.36,793378,52757
MM,META,PAID - BRAND,5914.31,545922,17982
FLOOD THE FEED,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,7817.22,1396194,113739
BAU,TIKTOK,PAID - BRAND,8634.37,436614,32282
MM,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1080.75,895043,63671
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,348.57,433875,14006
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,344.0,100517,4431
MM,TIKTOK,OWNED - BOOSTED ONLY,175.16,274893,8768
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,277.04,973668,118321
MM,META,OWNED - BOOSTED ONLY,5643.09,173298,6765
BAU,META,OWNED - BOOSTED ONLY,2964.89,124734,7754
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,356.87,182700,15471
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,4074.79,134253,4786
BAU,META,INFLUENCER - OGILVY - ORGANIC ONLY,75.04,74617,3456
BAU,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,44202.2,972378,78648
